node,cpu,mem,cpu_percent,mem_percent
Spotify,0,104,Helper,*0[2]
Spotify,12,1,Helper,sleeping
Spotify,0,34,Helper,*0[1]
Spotify,0,150528.0,0.0,0.00000
com.apple.Accoun,0,2641,0.0,0.00000
intelligentrouti,0,4689,0.0,0.00000
audioanalyticsd,0,4337,0.0,0.00000
netbiosd,0,2993,0.0,0.00000
suggestd,0,13312.0,0.0,0.00000
triald,0,5937,0.0,0.00000
knowledge-agent,0,9969,0.0,0.00000
Keychain,0,151,Circle,*0[1]
aned,0,3121,0.0,0.00000
bird,0,7121,0.0,0.00000
Google,3,1,Chrome,sleeping
coreautha,0,9426,0.0,0.00000
SiriNCService,0,6801,0.0,0.00000
audioaccessoryd,0,7089,0.0,0.00000
Siri,0,9218,0.0,0.00000
containermanager,0,7009,0.0,0.00000
WirelessRadioMan,0,3409,0.0,0.00000
callservicesd,0,13312.0,0.0,0.00000
cloudphotod,0,7841,0.0,0.00000
talagent,0,6913,0.0,0.00000
IOUserBluetoothS,0,1537,0.0,0.00000
IOUserBluetoothS,0,1537,0.0,0.00000
IOUserBluetoothS,0,1489,0.0,0.00000
PerfPowerService,0,15360.0,0.0,0.00000
bluetoothd,0,13312.0,0.0,0.00000
logd_helper,0,2673,0.0,0.00000
rtcreportingd,0,5297,0.0,0.00000
com.apple.audio.,0,2337,0.0,0.00000
ContextStoreAgen,0,7218,0.0,0.00000
UniversalControl,0,9169,0.0,0.00000
networkservicepr,0,7777,0.0,0.00000
WeatherWidget,0,21504.0,0.0,0.00000
WorldClockWidget,0,14336.0,0.0,0.00000
CalendarWidgetEx,0,12288.0,0.0,0.00000
StocksWidget,0,24576.0,0.0,0.00000
ScreenTimeWidget,0,20480.0,0.0,0.00000
chronod,0,22528.0,0.0,0.00000
backupd,0,3025,0.0,0.00000
tccd,0,6002,0.0,0.00000
com.apple.audio.,0,3489,0.0,0.00000
biomed,0,4849,0.0,0.00000
VTDecoderXPCServ,0,23552.0,0.0,0.00000
Photo,0,610,Booth,*2006[14778]
com.apple.CodeSi,0,2369,0.0,0.00000
storeuid,0,13312.0,0.0,0.00000
Notes,0,75776.0,0.0,0.00000
Bluetooth,0,40960.0,0.0,0.00000
bluetoothuserd,0,4913,0.0,0.00000
